2.00E+07,-2.60E-02,0.00E+00
2.19E+07,-2.47E-02,0.00E+00
2.37E+07,-1.90E-02,0.00E+00
2.56E+07,-2.03E-02,0.00E+00
2.75E+07,-2.80E-02,0.00E+00
2.93E+07,-8.91E-03,0.00E+00
3.12E+07,1.24E-03,0.00E+00
3.30E+07,-7.98E-03,0.00E+00
3.49E+07,4.08E-03,0.00E+00
3.68E+07,1.01E-02,0.00E+00
3.86E+07,1.73E-02,0.00E+00
4.05E+07,1.67E-02,0.00E+00
4.24E+07,2.48E-02,0.00E+00
4.42E+07,1.96E-02,0.00E+00
4.61E+07,3.75E-02,0.00E+00
4.79E+07,3.77E-02,0.00E+00
4.98E+07,3.66E-02,0.00E+00
5.17E+07,4.48E-02,0.00E+00
5.35E+07,3.53E-02,0.00E+00
5.54E+07,4.63E-02,0.00E+00
5.73E+07,4.12E-02,0.00E+00
5.91E+07,4.43E-02,0.00E+00
6.10E+07,3.88E-02,0.00E+00
6.28E+07,3.28E-02,0.00E+00
6.47E+07,3.12E-02,0.00E+00
6.66E+07,2.93E-02,0.00E+00
6.84E+07,2.86E-02,0.00E+00
7.03E+07,2.83E-02,0.00E+00
7.22E+07,2.28E-02,0.00E+00
7.40E+07,2.55E-02,0.00E+00
7.59E+07,1.95E-02,0.00E+00
7.77E+07,1.43E-02,0.00E+00
7.96E+07,5.12E-03,0.00E+00
8.15E+07,1.21E-02,0.00E+00
8.33E+07,7.89E-03,0.00E+00
8.52E+07,-7.93E-03,0.00E+00
8.71E+07,-1.18E-02,0.00E+00
8.89E+07,-4.37E-03,0.00E+00
9.08E+07,-1.49E-02,0.00E+00
9.26E+07,-1.54E-02,0.00E+00
9.45E+07,-2.50E-02,0.00E+00
9.64E+07,-1.23E-02,0.00E+00
9.82E+07,-1.36E-02,0.00E+00
1.00E+08,-8.77E-03,0.00E+00
1.02E+08,-1.33E-02,0.00E+00
1.04E+08,-4.72E-03,0.00E+00
1.06E+08,-1.56E-02,0.00E+00
1.08E+08,-4.67E-03,0.00E+00
1.09E+08,-1.15E-02,0.00E+00
1.11E+08,3.07E-04,0.00E+00
1.13E+08,-4.52E-03,0.00E+00
1.15E+08,1.23E-02,0.00E+00
1.17E+08,6.38E-03,0.00E+00
1.19E+08,1.07E-02,0.00E+00
1.21E+08,2.36E-02,0.00E+00
1.22E+08,2.09E-02,0.00E+00
1.24E+08,1.89E-02,0.00E+00
1.26E+08,2.02E-02,0.00E+00
1.28E+08,2.64E-02,0.00E+00
1.30E+08,2.39E-02,0.00E+00
1.32E+08,7.33E-03,0.00E+00
1.34E+08,8.48E-03,0.00E+00
1.35E+08,1.19E-02,0.00E+00
1.37E+08,1.11E-02,0.00E+00
1.39E+08,7.57E-03,0.00E+00
1.41E+08,9.79E-03,0.00E+00
1.43E+08,1.22E-02,0.00E+00
1.45E+08,4.18E-03,0.00E+00
1.47E+08,5.09E-03,0.00E+00
1.49E+08,1.91E-03,0.00E+00
1.50E+08,-3.13E-03,0.00E+00
1.52E+08,-1.37E-02,0.00E+00
1.54E+08,-1.36E-02,0.00E+00
1.56E+08,-1.46E-02,0.00E+00
1.58E+08,-2.00E-02,0.00E+00
1.60E+08,-3.17E-02,0.00E+00
1.62E+08,-4.09E-02,0.00E+00
1.63E+08,-4.36E-02,0.00E+00
1.65E+08,-4.88E-02,0.00E+00
1.67E+08,-4.80E-02,0.00E+00
1.69E+08,-5.76E-02,0.00E+00
1.71E+08,-5.94E-02,0.00E+00
1.73E+08,-7.58E-02,0.00E+00
1.75E+08,-6.70E-02,0.00E+00
1.76E+08,-7.73E-02,0.00E+00
1.78E+08,-7.94E-02,0.00E+00
1.80E+08,-7.85E-02,0.00E+00
1.82E+08,-9.41E-02,0.00E+00
1.84E+08,-1.01E-01,0.00E+00
1.86E+08,-8.80E-02,0.00E+00
1.88E+08,-9.23E-02,0.00E+00
1.89E+08,-9.20E-02,0.00E+00
1.91E+08,-1.05E-01,0.00E+00
1.93E+08,-1.06E-01,0.00E+00
1.95E+08,-9.74E-02,0.00E+00
1.97E+08,-8.34E-02,0.00E+00
1.99E+08,-9.16E-02,0.00E+00
2.01E+08,-8.33E-02,0.00E+00
2.03E+08,-7.12E-02,0.00E+00
2.04E+08,-6.85E-02,0.00E+00
2.06E+08,-6.81E-02,0.00E+00
2.08E+08,-6.52E-02,0.00E+00
2.10E+08,-5.39E-02,0.00E+00
2.12E+08,-4.23E-02,0.00E+00
2.14E+08,-4.31E-02,0.00E+00
2.16E+08,-3.69E-02,0.00E+00
2.17E+08,-3.10E-02,0.00E+00
2.19E+08,-2.05E-02,0.00E+00
2.21E+08,-1.41E-02,0.00E+00
2.23E+08,-9.14E-03,0.00E+00
2.25E+08,3.68E-03,0.00E+00
2.27E+08,2.61E-03,0.00E+00
2.29E+08,3.91E-03,0.00E+00
2.30E+08,1.98E-02,0.00E+00
2.32E+08,2.32E-02,0.00E+00
2.34E+08,3.20E-02,0.00E+00
2.36E+08,2.92E-02,0.00E+00
2.38E+08,3.96E-02,0.00E+00
2.40E+08,4.56E-02,0.00E+00
2.42E+08,4.95E-02,0.00E+00
2.44E+08,4.16E-02,0.00E+00
2.45E+08,4.15E-02,0.00E+00
2.47E+08,4.94E-02,0.00E+00
2.49E+08,4.95E-02,0.00E+00
2.51E+08,4.01E-02,0.00E+00
2.53E+08,3.38E-02,0.00E+00
2.55E+08,4.89E-02,0.00E+00
2.57E+08,2.13E-02,0.00E+00
2.58E+08,2.88E-02,0.00E+00
2.60E+08,1.38E-02,0.00E+00
2.62E+08,3.04E-02,0.00E+00
2.64E+08,-3.51E-03,0.00E+00
2.66E+08,-2.05E-03,0.00E+00
2.68E+08,-1.39E-02,0.00E+00
2.70E+08,-2.42E-02,0.00E+00
2.71E+08,-2.38E-02,0.00E+00
2.73E+08,-2.92E-02,0.00E+00
2.75E+08,-4.94E-02,0.00E+00
2.77E+08,-4.56E-02,0.00E+00
2.79E+08,-5.46E-02,0.00E+00
2.81E+08,-6.68E-02,0.00E+00
2.83E+08,-7.09E-02,0.00E+00
2.84E+08,-7.97E-02,0.00E+00
2.86E+08,-8.59E-02,0.00E+00
2.88E+08,-9.27E-02,0.00E+00
2.90E+08,-1.01E-01,0.00E+00
2.92E+08,-1.05E-01,0.00E+00
2.94E+08,-1.09E-01,0.00E+00
2.96E+08,-1.21E-01,0.00E+00
2.98E+08,-1.24E-01,0.00E+00
2.99E+08,-1.32E-01,0.00E+00
3.01E+08,-1.38E-01,0.00E+00
3.03E+08,-1.34E-01,0.00E+00
3.05E+08,-1.34E-01,0.00E+00
3.07E+08,-1.32E-01,0.00E+00
3.09E+08,-1.27E-01,0.00E+00
3.11E+08,-1.30E-01,0.00E+00
3.12E+08,-1.32E-01,0.00E+00
3.14E+08,-1.30E-01,0.00E+00
3.16E+08,-1.22E-01,0.00E+00
3.18E+08,-1.25E-01,0.00E+00
3.20E+08,-1.25E-01,0.00E+00
3.22E+08,-1.06E-01,0.00E+00
3.24E+08,-1.11E-01,0.00E+00
3.25E+08,-1.22E-01,0.00E+00
3.27E+08,-1.10E-01,0.00E+00
3.29E+08,-1.13E-01,0.00E+00
3.31E+08,-9.92E-02,0.00E+00
3.33E+08,-1.02E-01,0.00E+00
3.35E+08,-1.06E-01,0.00E+00
3.37E+08,-9.98E-02,0.00E+00
3.38E+08,-8.78E-02,0.00E+00
3.40E+08,-9.61E-02,0.00E+00
3.42E+08,-9.30E-02,0.00E+00
3.44E+08,-7.69E-02,0.00E+00
3.46E+08,-7.50E-02,0.00E+00
3.48E+08,-7.20E-02,0.00E+00
3.50E+08,-8.32E-02,0.00E+00
3.52E+08,-7.33E-02,0.00E+00
3.53E+08,-6.63E-02,0.00E+00
3.55E+08,-6.92E-02,0.00E+00
3.57E+08,-6.42E-02,0.00E+00
3.59E+08,-7.24E-02,0.00E+00
3.61E+08,-7.10E-02,0.00E+00
3.63E+08,-7.09E-02,0.00E+00
3.65E+08,-7.08E-02,0.00E+00
3.66E+08,-7.26E-02,0.00E+00
3.68E+08,-6.96E-02,0.00E+00
3.70E+08,-7.32E-02,0.00E+00
3.72E+08,-7.63E-02,0.00E+00
3.74E+08,-7.37E-02,0.00E+00
3.76E+08,-7.33E-02,0.00E+00
3.78E+08,-7.61E-02,0.00E+00
3.79E+08,-7.35E-02,0.00E+00
3.81E+08,-6.62E-02,0.00E+00
3.83E+08,-8.24E-02,0.00E+00
3.85E+08,-7.71E-02,0.00E+00
3.87E+08,-7.15E-02,0.00E+00
3.89E+08,-7.38E-02,0.00E+00
3.91E+08,-7.74E-02,0.00E+00
3.93E+08,-7.39E-02,0.00E+00
3.94E+08,-6.97E-02,0.00E+00
3.96E+08,-6.62E-02,0.00E+00
3.98E+08,-6.07E-02,0.00E+00
4.00E+08,-7.05E-02,0.00E+00
4.02E+08,-5.90E-02,0.00E+00
4.04E+08,-6.42E-02,0.00E+00
4.06E+08,-5.41E-02,0.00E+00
4.07E+08,-5.62E-02,0.00E+00
4.09E+08,-5.85E-02,0.00E+00
4.11E+08,-4.59E-02,0.00E+00
4.13E+08,-4.97E-02,0.00E+00
4.15E+08,-5.53E-02,0.00E+00
4.17E+08,-4.63E-02,0.00E+00
4.19E+08,-3.56E-02,0.00E+00
4.20E+08,-3.10E-02,0.00E+00
4.22E+08,-3.86E-02,0.00E+00
4.24E+08,-4.01E-02,0.00E+00
4.26E+08,-4.55E-02,0.00E+00
4.28E+08,-4.76E-02,0.00E+00
4.30E+08,-4.47E-02,0.00E+00
4.32E+08,-4.75E-02,0.00E+00
4.33E+08,-4.13E-02,0.00E+00
4.35E+08,-5.12E-02,0.00E+00
4.37E+08,-4.11E-02,0.00E+00
4.39E+08,-5.09E-02,0.00E+00
4.41E+08,-5.31E-02,0.00E+00
4.43E+08,-6.74E-02,0.00E+00
4.45E+08,-7.45E-02,0.00E+00
4.47E+08,-7.09E-02,0.00E+00
4.48E+08,-7.20E-02,0.00E+00
4.50E+08,-7.15E-02,0.00E+00
4.52E+08,-8.57E-02,0.00E+00
4.54E+08,-8.86E-02,0.00E+00
4.56E+08,-9.73E-02,0.00E+00
4.58E+08,-1.01E-01,0.00E+00
4.60E+08,-1.15E-01,0.00E+00
4.61E+08,-1.16E-01,0.00E+00
4.63E+08,-1.32E-01,0.00E+00
4.65E+08,-1.34E-01,0.00E+00
4.67E+08,-1.40E-01,0.00E+00
4.69E+08,-1.49E-01,0.00E+00
4.71E+08,-1.44E-01,0.00E+00
4.73E+08,-1.50E-01,0.00E+00
4.74E+08,-1.72E-01,0.00E+00
4.76E+08,-1.65E-01,0.00E+00
4.78E+08,-1.71E-01,0.00E+00
4.80E+08,-1.80E-01,0.00E+00
4.82E+08,-1.73E-01,0.00E+00
4.84E+08,-1.83E-01,0.00E+00
4.86E+08,-1.77E-01,0.00E+00
4.87E+08,-1.82E-01,0.00E+00
4.89E+08,-1.76E-01,0.00E+00
4.91E+08,-1.81E-01,0.00E+00
4.93E+08,-1.79E-01,0.00E+00
4.95E+08,-1.79E-01,0.00E+00
4.97E+08,-1.72E-01,0.00E+00
4.99E+08,-1.52E-01,0.00E+00
5.01E+08,-1.50E-01,0.00E+00
5.02E+08,-1.53E-01,0.00E+00
5.04E+08,-1.35E-01,0.00E+00
5.06E+08,-1.18E-01,0.00E+00
5.08E+08,-1.19E-01,0.00E+00
5.10E+08,-1.15E-01,0.00E+00
5.12E+08,-1.03E-01,0.00E+00
5.14E+08,-1.07E-01,0.00E+00
5.15E+08,-9.12E-02,0.00E+00
5.17E+08,-9.15E-02,0.00E+00
5.19E+08,-8.75E-02,0.00E+00
5.21E+08,-8.04E-02,0.00E+00
5.23E+08,-7.77E-02,0.00E+00
5.25E+08,-7.30E-02,0.00E+00
5.27E+08,-6.76E-02,0.00E+00
5.28E+08,-6.54E-02,0.00E+00
5.30E+08,-6.13E-02,0.00E+00
5.32E+08,-5.54E-02,0.00E+00
5.34E+08,-5.01E-02,0.00E+00
5.36E+08,-4.89E-02,0.00E+00
5.38E+08,-4.91E-02,0.00E+00
5.40E+08,-4.93E-02,0.00E+00
5.42E+08,-4.76E-02,0.00E+00
5.43E+08,-4.20E-02,0.00E+00
5.45E+08,-4.94E-02,0.00E+00
5.47E+08,-4.59E-02,0.00E+00
5.49E+08,-5.32E-02,0.00E+00
5.51E+08,-4.06E-02,0.00E+00
5.53E+08,-5.05E-02,0.00E+00
5.55E+08,-4.82E-02,0.00E+00
5.56E+08,-4.91E-02,0.00E+00
5.58E+08,-5.11E-02,0.00E+00
5.60E+08,-5.29E-02,0.00E+00
5.62E+08,-7.05E-02,0.00E+00
5.64E+08,-6.99E-02,0.00E+00
5.66E+08,-6.31E-02,0.00E+00
5.68E+08,-8.01E-02,0.00E+00
5.69E+08,-8.83E-02,0.00E+00
5.71E+08,-9.21E-02,0.00E+00
5.73E+08,-8.93E-02,0.00E+00
5.75E+08,-9.29E-02,0.00E+00
5.77E+08,-9.50E-02,0.00E+00
5.79E+08,-1.03E-01,0.00E+00
5.81E+08,-9.97E-02,0.00E+00
5.82E+08,-1.05E-01,0.00E+00
5.84E+08,-1.10E-01,0.00E+00
5.86E+08,-1.11E-01,0.00E+00
5.88E+08,-1.15E-01,0.00E+00
5.90E+08,-1.10E-01,0.00E+00
5.92E+08,-1.14E-01,0.00E+00
5.94E+08,-1.13E-01,0.00E+00
5.96E+08,-1.15E-01,0.00E+00
5.97E+08,-1.15E-01,0.00E+00
5.99E+08,-1.19E-01,0.00E+00
6.01E+08,-1.20E-01,0.00E+00
6.03E+08,-1.24E-01,0.00E+00
6.05E+08,-1.29E-01,0.00E+00
6.07E+08,-1.32E-01,0.00E+00
6.09E+08,-1.32E-01,0.00E+00
6.10E+08,-1.41E-01,0.00E+00
6.12E+08,-1.30E-01,0.00E+00
6.14E+08,-1.36E-01,0.00E+00
6.16E+08,-1.39E-01,0.00E+00
6.18E+08,-1.43E-01,0.00E+00
6.20E+08,-1.30E-01,0.00E+00
6.22E+08,-1.45E-01,0.00E+00
6.23E+08,-1.43E-01,0.00E+00
6.25E+08,-1.33E-01,0.00E+00
6.27E+08,-1.32E-01,0.00E+00
6.29E+08,-1.41E-01,0.00E+00
6.31E+08,-1.33E-01,0.00E+00
6.33E+08,-1.21E-01,0.00E+00
6.35E+08,-1.26E-01,0.00E+00
6.36E+08,-1.35E-01,0.00E+00
6.38E+08,-1.33E-01,0.00E+00
6.40E+08,-1.26E-01,0.00E+00
6.42E+08,-1.28E-01,0.00E+00
6.44E+08,-1.29E-01,0.00E+00
6.46E+08,-1.30E-01,0.00E+00
6.48E+08,-1.22E-01,0.00E+00
6.50E+08,-1.21E-01,0.00E+00
6.51E+08,-1.27E-01,0.00E+00
6.53E+08,-1.26E-01,0.00E+00
6.55E+08,-1.22E-01,0.00E+00
6.57E+08,-1.32E-01,0.00E+00
6.59E+08,-1.19E-01,0.00E+00
6.61E+08,-1.28E-01,0.00E+00
6.63E+08,-1.28E-01,0.00E+00
6.64E+08,-1.22E-01,0.00E+00
6.66E+08,-1.28E-01,0.00E+00
6.68E+08,-1.31E-01,0.00E+00
6.70E+08,-1.26E-01,0.00E+00
6.72E+08,-1.31E-01,0.00E+00
6.74E+08,-1.36E-01,0.00E+00
6.76E+08,-1.33E-01,0.00E+00
6.77E+08,-1.27E-01,0.00E+00
6.79E+08,-1.24E-01,0.00E+00
6.81E+08,-1.28E-01,0.00E+00
6.83E+08,-1.21E-01,0.00E+00
6.85E+08,-1.24E-01,0.00E+00
6.87E+08,-1.17E-01,0.00E+00
6.89E+08,-1.21E-01,0.00E+00
6.91E+08,-1.19E-01,0.00E+00
6.92E+08,-1.06E-01,0.00E+00
6.94E+08,-1.10E-01,0.00E+00
6.96E+08,-1.04E-01,0.00E+00
6.98E+08,-1.07E-01,0.00E+00
7.00E+08,-9.89E-02,0.00E+00
7.02E+08,-1.08E-01,0.00E+00
7.04E+08,-9.87E-02,0.00E+00
7.05E+08,-8.60E-02,0.00E+00
7.07E+08,-7.75E-02,0.00E+00
7.09E+08,-8.19E-02,0.00E+00
7.11E+08,-8.65E-02,0.00E+00
7.13E+08,-9.12E-02,0.00E+00
7.15E+08,-6.78E-02,0.00E+00
7.17E+08,-7.80E-02,0.00E+00
7.18E+08,-8.19E-02,0.00E+00
7.20E+08,-7.29E-02,0.00E+00
7.22E+08,-7.69E-02,0.00E+00
7.24E+08,-6.73E-02,0.00E+00
7.26E+08,-7.10E-02,0.00E+00
7.28E+08,-7.80E-02,0.00E+00
7.30E+08,-7.18E-02,0.00E+00
7.31E+08,-7.16E-02,0.00E+00
7.33E+08,-8.42E-02,0.00E+00
7.35E+08,-8.19E-02,0.00E+00
7.37E+08,-7.74E-02,0.00E+00
7.39E+08,-7.60E-02,0.00E+00
7.41E+08,-8.26E-02,0.00E+00
7.43E+08,-8.33E-02,0.00E+00
7.45E+08,-7.95E-02,0.00E+00
7.46E+08,-7.90E-02,0.00E+00
7.48E+08,-8.70E-02,0.00E+00
7.50E+08,-8.29E-02,0.00E+00
7.52E+08,-8.53E-02,0.00E+00
7.54E+08,-9.21E-02,0.00E+00
7.56E+08,-9.58E-02,0.00E+00
7.58E+08,-1.04E-01,0.00E+00
7.59E+08,-1.10E-01,0.00E+00
7.61E+08,-1.17E-01,0.00E+00
7.63E+08,-1.23E-01,0.00E+00
7.65E+08,-1.24E-01,0.00E+00
7.67E+08,-1.31E-01,0.00E+00
7.69E+08,-1.41E-01,0.00E+00
7.71E+08,-1.45E-01,0.00E+00
7.72E+08,-1.37E-01,0.00E+00
7.74E+08,-1.49E-01,0.00E+00
7.76E+08,-1.66E-01,0.00E+00
7.78E+08,-1.54E-01,0.00E+00
7.80E+08,-1.60E-01,0.00E+00
7.82E+08,-1.70E-01,0.00E+00
7.84E+08,-1.67E-01,0.00E+00
7.85E+08,-1.62E-01,0.00E+00
7.87E+08,-1.67E-01,0.00E+00
7.89E+08,-1.54E-01,0.00E+00
7.91E+08,-1.51E-01,0.00E+00
7.93E+08,-1.65E-01,0.00E+00
7.95E+08,-1.74E-01,0.00E+00
7.97E+08,-1.54E-01,0.00E+00
7.99E+08,-1.50E-01,0.00E+00
8.00E+08,-1.55E-01,0.00E+00
8.02E+08,-1.50E-01,0.00E+00
8.04E+08,-1.37E-01,0.00E+00
8.06E+08,-1.28E-01,0.00E+00
8.08E+08,-1.35E-01,0.00E+00
8.10E+08,-1.32E-01,0.00E+00
8.12E+08,-1.26E-01,0.00E+00
8.13E+08,-1.21E-01,0.00E+00
8.15E+08,-1.20E-01,0.00E+00
8.17E+08,-1.17E-01,0.00E+00
8.19E+08,-1.18E-01,0.00E+00
8.21E+08,-1.08E-01,0.00E+00
8.23E+08,-1.12E-01,0.00E+00
8.25E+08,-1.10E-01,0.00E+00
8.26E+08,-1.09E-01,0.00E+00
8.28E+08,-1.09E-01,0.00E+00
8.30E+08,-1.09E-01,0.00E+00
8.32E+08,-1.08E-01,0.00E+00
8.34E+08,-1.15E-01,0.00E+00
8.36E+08,-1.19E-01,0.00E+00
8.38E+08,-1.09E-01,0.00E+00
8.40E+08,-1.10E-01,0.00E+00
8.41E+08,-1.08E-01,0.00E+00
8.43E+08,-1.02E-01,0.00E+00
8.45E+08,-1.08E-01,0.00E+00
8.47E+08,-9.98E-02,0.00E+00
8.49E+08,-1.05E-01,0.00E+00
8.51E+08,-1.07E-01,0.00E+00
8.53E+08,-1.03E-01,0.00E+00
8.54E+08,-9.24E-02,0.00E+00
8.56E+08,-9.36E-02,0.00E+00
8.58E+08,-9.40E-02,0.00E+00
8.60E+08,-1.03E-01,0.00E+00
8.62E+08,-9.92E-02,0.00E+00
8.64E+08,-9.00E-02,0.00E+00
8.66E+08,-9.83E-02,0.00E+00
8.67E+08,-1.10E-01,0.00E+00
8.69E+08,-1.02E-01,0.00E+00
8.71E+08,-9.39E-02,0.00E+00
8.73E+08,-1.05E-01,0.00E+00
8.75E+08,-1.08E-01,0.00E+00
8.77E+08,-1.11E-01,0.00E+00
8.79E+08,-1.12E-01,0.00E+00
8.80E+08,-1.05E-01,0.00E+00
8.82E+08,-1.13E-01,0.00E+00
8.84E+08,-1.15E-01,0.00E+00
8.86E+08,-1.14E-01,0.00E+00
8.88E+08,-1.15E-01,0.00E+00
8.90E+08,-1.17E-01,0.00E+00
8.92E+08,-1.14E-01,0.00E+00
8.94E+08,-1.14E-01,0.00E+00
8.95E+08,-1.17E-01,0.00E+00
8.97E+08,-1.14E-01,0.00E+00
8.99E+08,-1.14E-01,0.00E+00
9.01E+08,-1.16E-01,0.00E+00
9.03E+08,-1.16E-01,0.00E+00
9.05E+08,-1.11E-01,0.00E+00
9.07E+08,-1.11E-01,0.00E+00
9.08E+08,-1.14E-01,0.00E+00
9.10E+08,-1.14E-01,0.00E+00
9.12E+08,-1.19E-01,0.00E+00
9.14E+08,-1.05E-01,0.00E+00
9.16E+08,-1.14E-01,0.00E+00
9.18E+08,-1.29E-01,0.00E+00
9.20E+08,-1.13E-01,0.00E+00
9.21E+08,-1.23E-01,0.00E+00
9.23E+08,-1.30E-01,0.00E+00
9.25E+08,-1.28E-01,0.00E+00
9.27E+08,-1.34E-01,0.00E+00
9.29E+08,-1.30E-01,0.00E+00
9.31E+08,-1.39E-01,0.00E+00
9.33E+08,-1.48E-01,0.00E+00
9.34E+08,-1.47E-01,0.00E+00
9.36E+08,-1.53E-01,0.00E+00
9.38E+08,-1.49E-01,0.00E+00
9.40E+08,-1.47E-01,0.00E+00
9.42E+08,-1.50E-01,0.00E+00
9.44E+08,-1.69E-01,0.00E+00
9.46E+08,-1.41E-01,0.00E+00
9.48E+08,-1.43E-01,0.00E+00
9.49E+08,-1.49E-01,0.00E+00
9.51E+08,-1.58E-01,0.00E+00
9.53E+08,-1.36E-01,0.00E+00
9.55E+08,-1.32E-01,0.00E+00
9.57E+08,-1.41E-01,0.00E+00
9.59E+08,-1.42E-01,0.00E+00
9.61E+08,-1.43E-01,0.00E+00
9.62E+08,-1.40E-01,0.00E+00
9.64E+08,-1.43E-01,0.00E+00
9.66E+08,-1.44E-01,0.00E+00
9.68E+08,-1.42E-01,0.00E+00
9.70E+08,-1.45E-01,0.00E+00
9.72E+08,-1.40E-01,0.00E+00
9.74E+08,-1.42E-01,0.00E+00
9.75E+08,-1.35E-01,0.00E+00
9.77E+08,-1.40E-01,0.00E+00
9.79E+08,-1.35E-01,0.00E+00
9.81E+08,-1.42E-01,0.00E+00
9.83E+08,-1.36E-01,0.00E+00
9.85E+08,-1.39E-01,0.00E+00
9.87E+08,-1.39E-01,0.00E+00
9.89E+08,-1.39E-01,0.00E+00
9.90E+08,-1.31E-01,0.00E+00
9.92E+08,-1.34E-01,0.00E+00
9.94E+08,-1.48E-01,0.00E+00
9.96E+08,-1.38E-01,0.00E+00
9.98E+08,-1.35E-01,0.00E+00
1.00E+09,-1.34E-01,0.00E+00
1.00E+09,-1.33E-01,0.00E+00
1.00E+09,-1.37E-01,0.00E+00
1.01E+09,-1.28E-01,0.00E+00
1.01E+09,-1.21E-01,0.00E+00
1.01E+09,-1.38E-01,0.00E+00
1.01E+09,-1.27E-01,0.00E+00
1.01E+09,-1.27E-01,0.00E+00
1.01E+09,-1.12E-01,0.00E+00
